tf_scan,nx,ny,K_tri,h,hmin,Np,total_dof,diagonal,tf_target,tf,reached_tf,cfl,dt_nominal,nsteps,tau,tau_interior,tau_qb,L2_error,Linf_error,L2_error_at_stop,Linf_error_at_stop,elapsed_sec,surface_inverse_mass_mode,interior_trace_mode,test_function_mode,physical_boundary_mode,face_order_mode,q_boundary_correction_kind,q_boundary_correction_mode,rate_L2,rate_Linf
5.0,1,1,2,1.0,0.7071067811865475,22,44,anti,5.0,5.0,True,0.05,0.002209708691207961,2263,0.0,0.0,0.0,0.5388154250047417,1.7455759941391933,0.5388154250047417,1.7455759941391933,2.4333984999975655,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,nan,nan
5.0,2,2,8,0.5,0.35355339059327373,22,176,anti,5.0,5.0,True,0.05,0.0011048543456039805,4526,0.0,0.0,0.0,0.018616128071187787,0.09061877602109478,0.018616128071187787,0.09061877602109478,3.314752899997984,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.855166206178689,4.2677493515220695
5.0,4,4,32,0.25,0.17677669529663687,22,704,anti,5.0,5.0,True,0.05,0.0005524271728019902,9051,0.0,0.0,0.0,0.0008673178217834048,0.0038015671577660837,0.0008673178217834048,0.0038015671577660837,8.568258400002378,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.423848476238281,4.575143821855327
5.0,8,8,128,0.125,0.08838834764831843,22,2816,anti,5.0,5.0,True,0.05,0.0002762135864009951,18102,0.0,0.0,0.0,3.527906241403159e-05,0.00017806578634760317,3.527906241403159e-05,0.00017806578634760317,31.697186100005638,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.6196766295046245,4.416112029667529
5.0,16,16,512,0.0625,0.044194173824159216,22,11264,anti,5.0,5.0,True,0.05,0.00013810679320049756,36204,0.0,0.0,0.0,1.7445448019809035e-06,8.554699463036997e-06,1.7445448019809035e-06,8.554699463036997e-06,122.85850180000125,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.337889666707202,4.3795493606901195
6.0,1,1,2,1.0,0.7071067811865475,22,44,anti,6.0,6.0,True,0.05,0.002209708691207961,2716,0.0,0.0,0.0,0.636403763228636,2.039070254576409,0.636403763228636,2.039070254576409,1.9360730999906082,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,nan,nan
6.0,2,2,8,0.5,0.35355339059327373,22,176,anti,6.0,6.0,True,0.05,0.0011048543456039805,5431,0.0,0.0,0.0,0.020530584933098905,0.09295436157117379,0.020530584933098905,0.09295436157117379,4.568429899998591,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.954095730040226,4.4552451125671935
6.0,4,4,32,0.25,0.17677669529663687,22,704,anti,6.0,6.0,True,0.05,0.0005524271728019902,10862,0.0,0.0,0.0,0.0009852448681388279,0.004133290295271708,0.0009852448681388279,0.004133290295271708,10.621060999998008,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.381148591571163,4.491159962506083
6.0,8,8,128,0.125,0.08838834764831843,22,2816,anti,6.0,6.0,True,0.05,0.0002762135864009951,21723,0.0,0.0,0.0,3.4848112536069814e-05,0.00016595672975816544,3.4848112536069814e-05,0.00016595672975816544,36.30335499999637,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.821329906566661,4.638411653884208
6.0,16,16,512,0.0625,0.044194173824159216,22,11264,anti,6.0,6.0,True,0.05,0.00013810679320049756,43445,0.0,0.0,0.0,1.1338708500196243e-06,5.4551302052230355e-06,1.1338708500196243e-06,5.4551302052230355e-06,174.70412639999995,projected,exchange,sin2pi_x,opposite_boundary,triangle,none,all,4.941752288988501,4.9270496917303825
