mesh_level,h,field_case,flux_type,alpha_lf,initial_preset,center_x,center_y,center_z,mass0,mass,mass_error,mass_rel_error,error_reference,step_index,time,L2_error,Linf_error,max_abs_q,reached_tf,tf_used,nsteps
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15418174565820034,4.6386367324485756e-05,0.00030094565930811456,exact_gaussian,10,0.20409783059471445,0.014221102365909712,0.09980874342992441,1.0256252680845583,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.1541891865536107,5.3827262734840176e-05,0.00034922073028850113,exact_gaussian,11,0.2245076136541859,0.015675704429463175,0.11242463582992213,1.0351829415217442,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15419646377597324,6.11044850973852e-05,0.00039643392261520046,exact_gaussian,12,0.24491739671365736,0.017070738285771544,0.12396737300267369,1.0400702816429102,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15420336333901455,6.800404813869787e-05,0.00044119693528831585,exact_gaussian,13,0.2653271797731288,0.018385508046099616,0.13406011532770423,1.0401611088223186,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15420966742554543,7.43081346695762e-05,0.00048209661307724945,exact_gaussian,14,0.28573696283260025,0.019601824359370402,0.14237257332233788,1.035396377535794,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.1542151579938318,7.97987029559355e-05,0.0005177183439482158,exact_gaussian,15,0.3061467458920717,0.020704560867760638,0.14862825416641334,1.0257853312511462,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15421962052868637,8.426123781052341e-05,0.0005466703954120624,exact_gaussian,16,0.32655652895154313,0.02168201254128463,0.15261003919110305,1.0114052999491459,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.1542228479649712,8.748867409535954e-05,0.0005676093694390765,exact_gaussian,17,0.3469663120110146,0.022526101317655232,0.1541640303746757,0.9924001088189871,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15422464477761755,8.9285486741697e-05,0.0005792667377068379,exact_gaussian,18,0.367376095070486,0.023232472905625207,0.1532016356856603,0.9689771169894841,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.1542248312009462,8.947191007036004e-05,0.0005804762157235675,exact_gaussian,19,0.38778587812995746,0.023800523539927513,0.14969990292018015,0.9414234231967054,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15422324751105154,8.788822017569142e-05,0.0005702015460958155,exact_gaussian,20,0.4081956611894289,0.024233387368673278,0.1437001540177043,0.9105281216325611,True,1.0,49
2,0.7653668647301795,gaussian,lax_friedrichs,1.5,custom,1.0,0.0,0.0,0.15413535929087585,0.15421975827901918,8.439898814333047e-05,0.0005475640925717589,exact_gaussian,21,0.42860544424890035,0.0245379041172629,0.13530501351748486,0.9137120491460823,True,1.0,49
